"SYMBOL","ENSEMBL","GENENAME"
"A2M","ENSG00000175899","alpha-2-macroglobulin"
"AACS","ENSG00000081760","acetoacetyl-CoA synthetase"
"AARSD1","ENSG00000266967","alanyl-tRNA synthetase domain containing 1"
"ABCA1","ENSG00000165029","ATP binding cassette subfamily A member 1"
"ABCA11P","ENSG00000251595","ATP binding cassette subfamily A member 11, pseudogene"
"ABCA7","ENSG00000064687","ATP binding cassette subfamily A member 7"
"ABCF3","ENSG00000161204","ATP binding cassette subfamily F member 3"
"ABHD17C","ENSG00000136379","abhydrolase domain containing 17C, depalmitoylase"
"AC003688.1","ENSG00000262302",NA
"AC004687.2",NA,NA
"AC005670.2","ENSG00000262633",NA
"AC009961.1","ENSG00000226266",NA
"AC011511.4","ENSG00000267303",NA
"AC087500.1","ENSG00000261879",NA
"AC108010.1","ENSG00000242588",NA
"AC113554.1","ENSG00000264813",NA
"AC120057.2","ENSG00000262526",NA
"AC135050.2","ENSG00000255439",NA
"ACADVL","ENSG00000072778","acyl-CoA dehydrogenase very long chain"
"ACD","ENSG00000102977","ACD shelterin complex subunit and telomerase recruitment factor"
"ACE","ENSG00000159640","angiotensin I converting enzyme"
"ACMSD","ENSG00000153086","aminocarboxymuconate semialdehyde decarboxylase"
"ACP2","ENSG00000134575","acid phosphatase 2, lysosomal"
"ACTL6B","ENSG00000077080","actin like 6B"
"ADAM10","ENSG00000137845","ADAM metallopeptidase domain 10"
"ADAM17","ENSG00000151694","ADAM metallopeptidase domain 17"
"ADAMTS4","ENSG00000158859","ADAM metallopeptidase with thrombospondin type 1 motif 4"
"AL022318.4","ENSG00000284554",NA
"AL049569.3","ENSG00000288636",NA
"AL049634.2","ENSG00000260861",NA
"ALG3","ENSG00000214160","ALG3 alpha-1,3- mannosyltransferase"
"ALKBH7","ENSG00000125652","alkB homolog 7"
"AMBRA1","ENSG00000110497","autophagy and beclin 1 regulator 1"
"ANK3","ENSG00000151150","ankyrin 3"
"ANKRD46","ENSG00000186106","ankyrin repeat domain 46"
"ANXA11","ENSG00000122359","annexin A11"
"AP000295.1","ENSG00000159110",NA
"AP000769.1","ENSG00000173727",NA
"AP4M1","ENSG00000221838","adaptor related protein complex 4 subunit mu 1"
"APH1B","ENSG00000138613","aph-1B gamma-secretase subunit"
"APOE","ENSG00000130203","apolipoprotein E"
"APP","ENSG00000142192","amyloid beta precursor protein"
"ARHGAP1","ENSG00000175220","Rho GTPase activating protein 1"
"ARHGAP27","ENSG00000159314","Rho GTPase activating protein 27"
"ARHGAP35","ENSG00000160007","Rho GTPase activating protein 35"
"ARHGEF1","ENSG00000076928","Rho guanine nucleotide exchange factor 1"
"ARL17A","ENSG00000185829","ARF like GTPase 17A"
"ARL17B","ENSG00000228696","ARF like GTPase 17B"
"ASAP2","ENSG00000151693","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
"ASAP3","ENSG00000088280","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
"ASCC2","ENSG00000100325","activating signal cointegrator 1 complex subunit 2"
"ASF1B","ENSG00000105011","anti-silencing function 1B histone chaperone"
"ASPHD1","ENSG00000174939","aspartate beta-hydroxylase domain containing 1"
"ATP13A1","ENSG00000105726","ATPase 13A1"
"ATP1A3","ENSG00000105409","ATPase Na+/K+ transporting subunit alpha 3"
"ATP1B2","ENSG00000129244","ATPase Na+/K+ transporting subunit beta 2"
"ATP5PF","ENSG00000154723","ATP synthase peripheral stalk subunit F6"
"ATP8B4","ENSG00000104043","ATPase phospholipid transporting 8B4 (putative)"
"AURKA","ENSG00000087586","aurora kinase A"
"AZGP1","ENSG00000160862","alpha-2-glycoprotein 1, zinc-binding"
"BAZ2B","ENSG00000123636","bromodomain adjacent to zinc finger domain 2B"
"BCKDK","ENSG00000103507","branched chain keto acid dehydrogenase kinase"
"BCL2A1","ENSG00000140379","BCL2 related protein A1"
"BCL7C","ENSG00000099385","BAF chromatin remodeling complex subunit BCL7C"
"BCO1","ENSG00000135697","beta-carotene oxygenase 1"
"BECN1","ENSG00000126581","beclin 1"
"BIN1","ENSG00000136717","bridging integrator 1"
"BLID","ENSG00000259571","BH3-like motif containing, cell death inducer"
"BLNK","ENSG00000095585","B cell linker"
"BRWD1","ENSG00000185658","bromodomain and WD repeat domain containing 1"
"BUB3","ENSG00000154473","BUB3 mitotic checkpoint protein"
"C1QTNF4","ENSG00000172247","C1q and TNF related 4"
"C1R","ENSG00000159403","complement C1r"
"C1S","ENSG00000182326","complement C1s"
"C20orf27","ENSG00000101220",NA
"C5AR1","ENSG00000197405","complement C5a receptor 1"
"CA11","ENSG00000063180","carbonic anhydrase 11"
"CALR3","ENSG00000269058","calreticulin 3"
"CAMK2G","ENSG00000148660","calcium/calmodulin dependent protein kinase II gamma"
"CAPN1","ENSG00000014216","calpain 1"
"CARF","ENSG00000138380","calcium responsive transcription factor"
"CASS4","ENSG00000087589","Cas scaffold protein family member 4"
"CASTOR3","ENSG00000239521",NA
"CBY1","ENSG00000100211","chibby 1, beta catenin antagonist"
"CCDC144B","ENSG00000154874",NA
"CCDC189","ENSG00000196118",NA
"CCDC200","ENSG00000236383","coiled-coil domain containing 200"
"CCDC43","ENSG00000180329","coiled-coil domain containing 43"
"CCDC6","ENSG00000108091","coiled-coil domain containing 6"
